Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,25.00,0,0.00,720.00,13,292.09,0,0.00,0,0.00,12,542.91,5
2,29.00,0,0.00,420.00,15,269.20,0,0.00,0,0.00,14,706.09,8
3,36.00,0,0.00,320.00,20,281.25,0,0.00,0,0.00,16,655.72,7
4,32.00,0,0.00,255.00,15,279.32,0,0.00,0,0.00,17,723.51,3
5,34.00,0,0.00,216.00,16,263.19,0,0.00,0,0.00,18,498.22,9
6,41.00,0,0.00,190.00,22,274.32,0,0.00,0,0.00,19,484.04,8
7,5.00,0,0.00,17.14,3,247.11,0,0.00,0,0.00,2,387.38,1
8,17.00,0,0.00,52.50,10,1505.34,0,0.00,0,0.00,7,1935.18,3
9,32.00,0,0.00,73.33,21,304.98,0,0.00,0,0.00,11,614.01,5
10,27.00,0,0.00,108.00,9,247.98,0,0.00,0,0.00,18,703.79,6
11,38.00,0,0.00,98.18,20,270.01,0,0.00,0,0.00,18,672.05,12
12,23.00,0,0.00,70.00,9,310.13,0,0.00,0,0.00,14,654.83,9
13,21.00,0,0.00,55.38,9,786.87,0,0.00,0,0.00,12,875.94,5
14,19.00,0,0.00,30.00,12,754.66,0,0.00,0,0.00,7,1563.72,3
15,24.00,0,0.00,48.00,12,327.34,0,0.00,0,0.00,12,853.35,4
16,26.00,0,0.00,60.00,10,296.15,0,0.00,0,0.00,16,812.40,8
17,32.00,0,0.00,42.35,20,326.16,0,0.00,0,0.00,12,767.70,4
18,30.00,0,0.00,53.33,14,280.11,0,0.00,0,0.00,16,694.06,8
19,26.00,0,0.00,56.84,8,259.36,0,0.00,0,0.00,18,626.67,11
20,37.00,0,0.00,36.00,25,305.66,0,0.00,0,0.00,12,553.11,8
21,23.00,0,0.00,28.57,13,311.10,0,0.00,0,0.00,10,694.85,3
22,25.00,0,0.00,38.18,11,313.03,0,0.00,0,0.00,14,739.57,3
23,9.00,0,0.00,10.43,5,1416.67,0,0.00,0,0.00,4,1494.06,2
24,14.00,0,0.00,10.00,10,1142.76,0,0.00,0,0.00,4,1836.31,1
25,36.00,0,0.00,40.80,19,269.62,0,0.00,0,0.00,17,710.26,7
26,35.00,0,0.00,46.15,15,258.14,0,0.00,0,0.00,20,689.18,10
27,33.00,0,0.00,42.22,14,276.43,0,0.00,0,0.00,19,559.99,8
28,32.00,0,0.00,34.29,16,271.75,0,0.00,0,0.00,16,611.43,8
29,30.00,0,0.00,24.83,18,280.85,0,0.00,0,0.00,12,640.76,5
