Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,21.00,0,0.00,540.00,12,298.42,0,0.00,0,0.00,9,722.94,4
2,19.00,0,0.00,210.00,12,387.69,0,0.00,0,0.00,7,912.77,3
3,14.00,0,0.00,180.00,5,454.52,0,0.00,0,0.00,9,1012.13,4
4,12.00,0,0.00,90.00,6,558.26,0,0.00,0,0.00,6,1256.33,4
5,13.00,0,0.00,84.00,6,744.50,0,0.00,0,0.00,7,1568.36,4
6,9.00,0,0.00,40.00,5,853.77,0,0.00,0,0.00,4,1806.58,1
7,9.00,0,0.00,60.00,2,731.96,0,0.00,0,0.00,7,2097.18,5
8,10.00,0,0.00,45.00,4,908.33,0,0.00,0,0.00,6,2110.64,1
9,6.00,0,0.00,13.33,4,1083.67,0,0.00,0,0.00,2,1998.53,1
10,6.00,0,0.00,24.00,2,1443.82,0,0.00,0,0.00,4,2075.96,2
11,8.00,0,0.00,21.82,4,1248.75,0,0.00,0,0.00,4,3220.44,1
12,7.00,0,0.00,15.00,4,1453.05,0,0.00,0,0.00,3,2812.07,2
13,3.00,0,0.00,9.23,1,1169.83,0,0.00,0,0.00,2,3076.88,0
14,5.00,0,0.00,8.57,3,1232.16,0,0.00,0,0.00,2,3202.43,1
15,9.00,0,0.00,24.00,3,1299.48,0,0.00,0,0.00,6,3722.72,2
16,2.00,0,0.00,3.75,1,1366.36,0,0.00,0,0.00,1,519.33,1
17,6.00,0,0.00,7.06,4,1336.27,0,0.00,0,0.00,2,2571.87,1
18,6.00,0,0.00,10.00,3,1405.42,0,0.00,0,0.00,3,2909.62,0
19,7.00,0,0.00,12.63,3,1247.39,0,0.00,0,0.00,4,3585.84,2
20,36.00,0,0.00,39.00,23,985.03,0,0.00,0,0.00,13,1532.74,3
21,33.00,0,0.00,42.86,18,293.10,0,0.00,0,0.00,15,760.15,5
22,38.00,0,0.00,40.91,23,281.92,0,0.00,0,0.00,15,482.94,9
23,28.00,0,0.00,44.35,11,274.52,0,0.00,0,0.00,17,716.22,8
24,3.00,0,0.00,5.00,1,243.02,0,0.00,0,0.00,2,594.35,0
25,22.00,0,0.00,26.40,11,1493.96,0,0.00,0,0.00,11,1836.59,5
26,32.00,0,0.00,39.23,15,282.05,0,0.00,0,0.00,17,691.52,5
27,36.00,0,0.00,28.89,23,314.73,0,0.00,0,0.00,13,637.49,8
28,31.00,0,0.00,36.43,14,260.45,0,0.00,0,0.00,17,528.02,10
29,32.00,0,0.00,47.59,9,261.70,0,0.00,0,0.00,23,662.59,11
30,23.00,0,0.00,26.00,10,508.28,0,0.00,0,0.00,13,791.71,5
31,28.00,0,0.00,23.23,16,525.68,0,0.00,0,0.00,12,763.92,7
32,24.00,0,0.00,24.38,11,310.37,0,0.00,0,0.00,13,805.11,4
33,29.00,0,0.00,23.64,16,286.87,0,0.00,0,0.00,13,667.83,7
34,29.00,0,0.00,24.71,15,311.92,0,0.00,0,0.00,14,801.92,2
35,35.00,0,0.00,27.43,19,293.21,0,0.00,0,0.00,16,513.59,11
36,30.00,0,0.00,28.33,13,295.74,0,0.00,0,0.00,17,715.16,6
37,28.00,0,0.00,27.57,11,283.03,0,0.00,0,0.00,17,753.27,10
38,32.00,0,0.00,26.84,15,292.20,0,0.00,0,0.00,17,592.68,9
39,23.00,0,0.00,13.85,14,495.18,0,0.00,0,0.00,9,695.20,3
